order_date,region,category,product,quantity,revenue,cost,profit
2026-01-03,North,Hardware,Keyboard,1,63.92,40.32,23.6
2026-01-06,West,Software,Analytics Pro,8,1738.27,610.27,1128.0
2026-01-09,East,Services,Implementation,3,5738.04,4242.96,1495.08
2026-01-12,South,Accessories,Cable Kit,22,516.91,334.62,182.29
2026-01-15,North,Hardware,Monitor,5,1460.72,1212.6,248.12
2026-01-13,West,Software,Backup Suite,12,1790.91,781.2,1009.71
2026-01-16,East,Services,Training,2,1995.28,1302.96,692.32
2026-01-19,East,Accessories,Webcam,2,225.27,157.44,67.83
2026-01-22,South,Hardware,Dock,9,1226.18,924.21,301.97
2026-01-25,North,Software,Data Sync,16,1968.56,733.06,1235.5
2026-01-23,West,Services,Support Retainer,1,1427.38,973.44,453.94
2026-01-26,East,Accessories,Headset,6,436.76,352.94,83.82
2026-01-29,South,Hardware,Laptop Stand,13,648.94,423.15,225.79
2026-02-01,North,Software,Forecast Lite,20,1688.57,1840.54,-151.97
2026-02-04,North,Services,Data Cleanup,5,5384.5,4176.0,1208.5
2026-02-02,West,Accessories,Travel Hub,10,692.81,479.22,213.59
2026-02-05,East,Hardware,Keyboard,17,1068.84,711.14,357.7
2026-02-08,South,Software,Analytics Pro,24,5160.04,1898.21,3261.83
2026-02-11,North,Services,Implementation,4,8619.16,5861.76,2757.4
2026-02-14,West,Accessories,Cable Kit,14,315.71,220.5,95.21
2026-02-12,East,Hardware,Monitor,21,6881.07,5270.58,1610.49
2026-02-15,East,Software,Backup Suite,4,670.89,238.08,432.81
2026-02-18,South,Services,Training,3,2487.24,1789.74,697.5
2026-02-21,North,Accessories,Webcam,18,1972.71,1470.1,502.61
2026-02-24,West,Hardware,Dock,1,133.07,106.47,26.6
2026-02-22,East,Software,Data Sync,8,845.86,379.78,466.08
2026-02-25,South,Services,Support Retainer,2,2876.8,2016.0,860.8
2026-02-28,North,Accessories,Headset,22,1790.03,2130.14,-340.11
2026-03-03,North,Hardware,Laptop Stand,5,241.88,148.8,93.08
2026-03-06,West,Software,Forecast Lite,12,1140.08,445.97,694.11
2026-03-04,East,Services,Data Cleanup,1,1200.6,866.52,334.08
2026-03-07,South,Accessories,Travel Hub,2,133.94,99.37,34.57
2026-03-10,North,Hardware,Keyboard,9,635.19,390.1,245.09
2026-03-13,West,Software,Analytics Pro,16,3320.83,1310.4,2010.43
2026-03-16,East,Services,Implementation,5,9225.04,7582.8,1642.24
2026-03-14,East,Accessories,Cable Kit,6,134.93,86.4,48.53
2026-03-17,South,Hardware,Monitor,13,3550.83,2987.79,563.04
